Domain,Candidate,Current_Descriptions,Suggested_Description
governor.ny.gov,Peter Oberacker,"Voted yes on NY RAISE Act (58-1): requires large AI developers to publish safety protocols and report critical incidents within 72 hours, creates AI oversight office in Dept. of Financial Services; signed Dec. 19, 2025",
governor.ri.gov,Dan McKee,"Signed EO establishing statewide AI Task Force and Data Center of Excellence; released comprehensive AI roadmap (Jan 2026) treating AI as 'public infrastructure' with sector plans for schools, hospitals, small businesses",
gray.house.gov,Adam Gray,Official congressional and campaign materials emphasize agriculture water and Valley jobs but no substantive AI policy or AI regulation position found after broader search,Adam Gray (U.S. House Website)
grijalva.house.gov,Adelita Grijalva,Current AZ-07 campaign and House materials focus immigration oversight and community protection with no clear AI policy or AI regulation position found after broader search,Adelita Grijalva (U.S. House Website)
guthrie.house.gov,Brett Guthrie,Current KY-02 candidacy is clear; no AI policy or AI regulation position found,Brett Guthrie (U.S. House Website)
hageman.house.gov,Harriet Hageman,Introduced FAIR Act requiring AI used in federal procurement to be factual and politically neutral; co-led inquiry into IRS AI surveillance raising 4th Amendment concerns; voted for Big Beautiful Bill AI preemption provision,Harriet Hageman (U.S. House Website)
hagerty.senate.gov,Bill Hagerty,Warned 'federal overregulation of AI will limit election speech'; co-introduced bill to block SEC AI conflict-of-interest rule; repeatedly called for 'light touch' approach and opposed 'all-encompassing regulation',Bill Hagerty (U.S. Senate Website)
harder.house.gov,Josh Harder,Backed high risk high reward biomedical research and public interest innovation,Josh Harder (U.S. House Website)
harrigan.house.gov,Pat Harrigan,"Introduced SkyFoundry Act to massively expand U.S. drone manufacturing and repeatedly framed AI as part of military modernization and dominance rather than civilian safeguards or oversight | Secured NDAA provisions advancing artificial intelligence and critical infrastructure for military capability, reinforcing a deployment-first posture",Pat Harrigan (U.S. House Website)
help.senate.gov,Bill Cassidy,Introduced bipartisan AI-in-schools bill (2025) helping states safely integrate AI in classrooms with parental empowerment provisions | Released formal AI white paper as HELP Committee ranking member opposing 'one-size-fits-all' regulation; introduced RAISE Act for AI in K-12; wants AI to help regulate AI; innovation-forward with targeted guardrails,Bill Cassidy (U.S. Senate Website)
hickenlooper.senate.gov,John Hickenlooper,"ARIA Act introduced bipartisan — establishes transparency, accountability, and security frameworks for high-impact AI applications | Co-signed Senate inquiry to DoD Secretary Hegseth demanding answers on Pentagon's use of xAI Grok given its antisemitic outputs and AI-generated CSAM history (Feb 2026) | Hickenlooper + Thune urge federal AI standards: 'consumers should be empowered to trust the AI systems they interact with' | Hickenlooper chaired Senate Commerce subcommittee hearing on AI transparency and consumer trust; proposed AI auditing standards and consumer data protections | Hickenlooper co-sponsored TAKE IT DOWN Act — criminalizes AI-generated deepfake pornography, requires platform removal | Hickenlooper introduced ARIA Act (AI Research Innovation and Accountability Act) — establishes transparency measures for AI developers and deployers | Hickenlooper introduced VET AI Act — directs NIST to develop guidelines for independent third-party audits of AI systems; passed Senate Commerce Committee | On AI self-regulation: 'We can't let an industry with so many unknowns and potential harms police itself' — called for qualified third-party audits | TAKE IT DOWN Act signed into law (May 2025) — Hickenlooper co-sponsored bill criminalizing AI deepfake intimate imagery and mandating 48-hour platform removal | VET AI Act (S.2615) reintroduced and passed Senate Commerce Committee bipartisan — directs NIST to create third-party AI audit guidelines",John Hickenlooper (U.S. Senate Website)
himes.house.gov,Jim Himes,Backed intelligence legislation encouraging development and implementation of artificial intelligence while pairing it with congressional oversight and national-security controls | Introduced bipartisan legislation to protect Americans from foreign commercial spyware attacks and argued for stronger guardrails against invasive surveillance technology,Jim Himes (U.S. House Website)
hinson.house.gov,Ashley Hinson,"Joined Child Exploitation and Artificial Intelligence Expert Commission Act to create legal framework for law enforcement to combat AI-generated CSAM; stated ""we need to be proactive — not reactive — about this potential danger""",Ashley Hinson (U.S. House Website)
historical.elections.virginia.gov,Mike W. Clancy,General-election Republican candidate in VA-10; no AI policy or AI regulation position found,
historical.elections.virginia.gov,Suhas Subramanyam,Incumbent VA-10 candidate materials reviewed; no AI policy or AI regulation position found,
homeland.house.gov,Andy Ogles,As cyber subcommittee chair he held hearings on AI driven cyber threats and offensive cyber posture but not a broader AI safety framework,Andy Ogles (U.S. House Website)
homeland.house.gov,Mike Rogers,Has a longstanding defense focused AI posture centered on military modernization and competition with China rather than civil AI guardrails,Mike Rogers (U.S. House Website)
hsgac.senate.gov,John Cornyn,Bipartisan bill with Peters to establish Chief AI Officers at every federal agency,John Cornyn (U.S. Senate Website)
hudson.house.gov,Richard Hudson,Chairs the Communications and Technology Subcommittee and promotes innovation and defense technology; no AI governance or regulation position found,Richard Hudson (U.S. House Website)
huffman.house.gov,Bruce Westerman,Promoted expanded federal use of AI drones and mapping software for wildfire and land management but not a broader AI governance framework,Bruce Westerman (U.S. House Website)
huffman.house.gov,Jared Huffman,Encouraged scaling AI and mapping software for wildfire response and land management; no broader AI governance framework found,Jared Huffman (U.S. House Website)
hurd.house.gov,Jeff Hurd,"Cosponsored bill to use agentic AI to review and streamline the Code of Federal Regulations (using AI as a deregulation tool, not regulating AI); publicly favors federal preemption of state AI laws over ""patchwork"" of state regulations",Jeff Hurd (U.S. House Website)
husted.senate.gov,Jon Husted,Introduced Leveraging AI to Streamline the Federal Code Act — uses AI to identify and cut 'redundant and outdated' federal regulations; explicitly frames AI as deregulatory instrument | WSJ op-ed 'AI Can Be a Force for Deregulation'; introduced RAISE Act for K-12 AI literacy; used AI to identify redundant federal regulations; most active Senate AI booster,Jon Husted (U.S. Senate Website)
idfpr.illinois.gov,JB Pritzker,Signed HB 1806 (Aug 2025): nation's first law banning unlicensed AI therapy chatbots; prohibits AI from performing mental health decisions without licensed clinician oversight; passed unanimously in both chambers,
it.nc.gov,Roy Cooper,Established NC AI Leadership Council to advise governor and state agencies on AI strategy | Principles for Responsible Use of AI – NCDIT | Published NC State Government Responsible Use of AI Framework (Aug 2024) – privacy / transparency / risk reduction,
jayapal.house.gov,Jeff Merkley,Co-sponsored AI Civil Rights Act — bans discriminatory AI algorithms in critical decisions; requires pre- and post-deployment testing; increases algorithmic transparency | Introduced ICE Out of Our Faces Act with Markey/Jayapal/Wyden — bans ICE and CBP from acquiring or using facial recognition technology,Jeff Merkley (U.S. House Website)
jayapal.house.gov,Pramila Jayapal,"Co-led reintroduction of the AI Civil Rights Act to require testing, transparency, and guardrails against discriminatory AI in high-stakes decisions | Introduced ICE Out of Our Faces Act to ban ICE and CBP use of facial recognition technology, calling it an unaccountable surveillance tool",Pramila Jayapal (U.S. House Website)
jeffries.house.gov,Hakeem Jeffries,Announced House Democratic Commission on AI and the Innovation Economy and said Congress needs policies and guardrails to prevent AI harms while supporting innovation | Received bipartisan House AI Task Force report and highlighted the need for appropriate guardrails to protect Americans alongside innovation leadership,Hakeem Jeffries (U.S. House Website)
jerrycarl.house.gov,Jerry Carl,Campaign and House materials focus border security offshore energy and fisheries with no clear AI policy or AI regulation position found after broader search,Jerry Carl (U.S. House Website)
jordan.house.gov,Jim Jordan,No AI policy or AI regulation position found,Jim Jordan (U.S. House Website)
joyce.house.gov,David Joyce,No AI policy or AI regulation position found,David Joyce (U.S. House Website)
judiciary.house.gov,Harriet Hageman,Co-led inquiry into IRS use of AI to surveil Americans' financial transactions without legal process — civil liberties/conservative oversight framing,Harriet Hageman (U.S. House Website)
juliabrownley.house.gov,Julia Brownley,Backed bipartisan legislation to block foreign adversary LiDAR systems used in smart infrastructure and transport technology but not a broader AI governance framework,Julia Brownley (U.S. House Website)
kaptur.house.gov,Marcy Kaptur,Reintroduced bipartisan bill to protect inventors and small patent holders as AI-related innovation accelerates,Marcy Kaptur (U.S. House Website)
kean.house.gov,Tom Kean Jr.,Introduced bipartisan bill criminalizing and creating civil penalties for non-consensual AI deepfake pornography | Introduced bipartisan bill to strengthen export-control enforcement for stolen AI chips and add whistleblower protections,Tom Kean Jr. (U.S. House Website)
kennedy.house.gov,Tim Kennedy,No AI policy or AI regulation position found,Tim Kennedy (U.S. House Website)
kevinmullin.house.gov,Kevin Mullin,Introduced the AV Safety Data Act to require stronger public reporting and transparency around autonomous vehicle safety incidents | Led lawmakers examining how AI data center growth could raise household energy costs | Questioned AI risk management in Science Committee oversight and led scrutiny of AI data center impacts on energy costs | Raised explicit concerns about deepfakes and ChatGPT in political communication and democracy in a House Science Committee hearing,Kevin Mullin (U.S. House Website)
khanna.house.gov,Ro Khanna,Backed ethical AI development and explicit guidelines for transparency privacy accountability fairness and safety | Called for thoughtful AI regulation on misinformation deepfakes privacy and concentration while still supporting innovation,Ro Khanna (U.S. House Website)
kiggans.house.gov,Jen Kiggans,Introduced AI for America Act calling for a federal AI strategy while also removing regulatory barriers to adoption,Jen Kiggans (U.S. House Website)
kiley.house.gov,Kevin Kiley,Held a congressional hearing on the impact of AI on K-12 education and framed AI as requiring active governance and safety attention | Introduced the SAFE AI Research Grants Act to fund AI safety research and develop ethical guidance for safe AI development,Kevin Kiley (U.S. House Website)
klobuchar.senate.gov,Amy Klobuchar,"AI Scam Prevention Act (Dec 2025) with Capito — prohibits using AI to impersonate any person with intent to defraud; codifies FTC ban on impersonating government/business officials | Klobuchar co-authored AIRIA Act — establishes testing standards for high-risk AI, transparency requirements, and watermarking research | Klobuchar co-authored Protect Elections from Deceptive AI Act — prohibits AI deepfakes of federal candidates in political ads; advanced out of Rules Committee 2024 | Klobuchar co-authored TAKE IT DOWN Act — criminalizes AI-generated deepfake pornography; requires platform removal within 48 hours; signed into law May 2025 | Klobuchar co-signed Senate Bipartisan AI Policy Roadmap (May 2024); chaired Rules Committee hearings on AI in elections; one of the most prolific AI legislators in the Senate | NO FAKES Act reintroduced (April 2025) with Coons/Blackburn/Tillis — federal right for every American to protect their voice and likeness from AI replication without consent; now supported by YouTube and OpenAI | NO FAKES Act reintroduced (May 2025) with Coons/Blackburn/Tillis — federal right protecting Americans' voice and likeness from AI deepfakes | NYT op-ed: 'State A.I. Laws Keep Us Safe. Trump's Next Move Could Upend That.' — states have 'a right and a duty' to regulate AI until federal standards pass; directly opposed Trump's state preemption plan | Preparing Election Administrators for AI Act reintroduced (2025) with Collins and Kelly — directs EAC and NIST to develop voluntary AI guidelines for election offices covering cybersecurity, disinformation, and AI risks",Amy Klobuchar (U.S. Senate Website)
kustoff.house.gov,David Kustoff,Incumbent TN-08 candidacy reviewed; no AI policy or AI regulation position found,David Kustoff (U.S. House Website)
lahood.house.gov,Darin LaHood,Introduced legislation to ban DeepSeek from government devices and to defend U.S. AI systems from foreign adversaries,Darin LaHood (U.S. House Website)
lalota.house.gov,Nick LaLota,Current NY-01 candidacy is clear; no AI policy or AI regulation position found,Nick LaLota (U.S. House Website)
landsman.house.gov,Greg Landsman,Introduced Ban AI Denials in Medicare Act to prohibit AI prior-authorization models from delaying or denying Medicare procedures | Introduced bill to protect residents from rising electricity costs caused by AI data centers,Greg Landsman (U.S. House Website)
langworthy.house.gov,Don Davis,Cosponsored the Child Exploitation and Artificial Intelligence Expert Commission Act addressing AI-generated child exploitation material,Don Davis (U.S. House Website)
langworthy.house.gov,Nick Langworthy,Introduced legislation to create an expert commission on AI-generated child sexual abuse material and said AI growth requires a legal framework to prevent detect and prosecute child exploitation crimes,Nick Langworthy (U.S. House Website)
larsen.house.gov,Rick Larsen,Introduced bipartisan bill to improve and expand artificial intelligence education for U.S. servicemembers,Rick Larsen (U.S. House Website)
larson.house.gov,John Larson,Introduced the Workforce of the Future Act and explicitly argued that AI requires worker-protection and education policy so people are not left behind by rapid deployment,John Larson (U.S. House Website)
latimer.house.gov,George Latimer,No AI policy or AI regulation position found,George Latimer (U.S. House Website)
latta.house.gov,Bob Latta,No AI policy or AI regulation position found,Bob Latta (U.S. House Website)
lawfilesext.leg.wa.gov,John Braun,"Opposed Washington bill requiring bargaining over certain workplace AI uses, arguing it would slow implementation and limit efficiency | Sponsored 2026 Washington bill to use agentic AI to streamline regulations and reduce red tape",
lawler.house.gov,Mike Lawler,Introduced CHAT Act to impose safeguards on AI companion chatbots interacting with minors | Voted for the May 22 2025 House package that contained the federal moratorium on state AI regulation,Mike Lawler (U.S. House Website)
leg.colorado.gov,Barbara Kirkmeyer,Colorado legislative and launch materials reviewed; no AI-specific campaign or policy position found,
leg.colorado.gov,Shannon Bird,Voted to advance Colorado's 2025 consumer-protections bill for AI interactions in committee,
leger.house.gov,Teresa Leger Fernandez,Current NM-03 candidacy is clear; no AI policy or AI regulation position found,Teresa Leger Fernandez (U.S. House Website)
leginfo.legislature.ca.gov,Jasmeet Bains,Coauthored AB 489 enacted October 11 2025 restricting deceptive use of AI in health-care advertising and functionality,
legis.iowa.gov,Brad Sherman,"WARNING: Prior evidence likely misattributed from CA Rep. Brad Sherman (D-CA-32, House Financial Services AI Task Force); Iowa Brad Sherman (state rep, District 91) has no documented AI record",
legislature.maine.gov,Shenna Bellows,Submitted official legislative testimony supporting LD 517 (deepfake political ad disclosure bill); stated AI tools 'will only supercharge' disinformation; voters can't distinguish real from fake,
legislature.ohio.gov,Josh Williams,Cosponsored Ohio HB106 to let schools buy artificial-intelligence firearm-detection software,
liccardo.house.gov,Sam Liccardo,Led a congressional innovation agenda that addresses AI competition while pairing innovation with consumer protections | Publicly backed AI related innovation and deployment such as wildfire robotics; no AI safety or regulation record found,Sam Liccardo (U.S. House Website)
lieu.house.gov,Raul Ruiz,Supported the bipartisan House AI task force framework balancing innovation with guardrails as a task force member,Raul Ruiz (U.S. House Website)
lieu.house.gov,Ted Lieu,Publicly argued Congress must regulate AI now and laid out specific catastrophic and present harm concerns | Served as co-chair of the House bipartisan AI task force,Ted Lieu (U.S. House Website)
lindasanchez.house.gov,Linda Sanchez,Public materials reviewed did not show a substantive AI policy or AI regulation record in this race after broader search,Linda Sanchez (U.S. House Website)
lofgren.house.gov,Zoe Lofgren,Her 2025 anti piracy legislation came from the courts intellectual property artificial intelligence and internet oversight role; no standalone AI guardrails record found | Serves as a senior member of the House courts intellectual property artificial intelligence and internet subcommittee and on the House Democratic AI commission,Zoe Lofgren (U.S. House Website)
ltgov.georgia.gov,Burt Jones,Large AI data center project proposed on Jones family land in Butts County — raises conflict-of-interest concerns about his relationship to AI infrastructure; framed as economic development not regulation,
lucas.house.gov,Frank Lucas,"As House Science Committee Chair, repeatedly framed AI as needing congressional oversight and risk management; pro-governance stance on AI development | As chair of the House Science Committee, repeatedly framed AI as needing congressional oversight and risk management while still emphasizing U.S. technological leadership",Frank Lucas (U.S. House Website)
lujan.senate.gov,Ben Ray Lujan,"Lujan introduced TEST AI Act — bipartisan bill directing NIST and DOE national labs (Sandia, Los Alamos) to build federal AI testing infrastructure; quoted: 'responsible guardrails that protect our national security' | Lujan secured $762K for NM State University AI curriculum development in FY2026 appropriations; engaged NIST and DOE national labs on AI guardrails over multiple years",Ben Ray Lujan (U.S. Senate Website)
lynch.house.gov,Stephen Lynch,"As lead Democrat on the House Financial Services AI working group, publicly called for robust federal oversight and an adaptive regulatory framework to address AI risks to consumers privacy and financial stability | Said responsible AI innovation in financial services must maximize consumer safety security data privacy and equity while being paired with common-sense oversight",Stephen Lynch (U.S. House Website)
mace.house.gov,Nancy Mace,Championed Take It Down Act (Trump signed May 2025): criminalizes AI deepfake nonconsensual intimate images; also introduced RESPECT Act with tougher sentences for deepfake threats,Nancy Mace (U.S. House Website)
mackenzie.house.gov,Ryan Mackenzie,Led Pennsylvania legislation and later backed federal law against AI-generated deepfake sexual exploitation and explicit images,Ryan Mackenzie (U.S. House Website)
maine.gov,Janet Mills,"Mills signed exec order creating Maine AI Task Force (Dec 2024) — 34 recommendations to 'strengthen guardrails against potential harms' while bolstering innovation | Mills signed two AI deepfake protection bills — updated state law to cover AI-generated non-consensual intimate images | Task Force final report: 34 recommendations covering workforce, public sector deployment, and consumer protections — Mills allocated $6.7M in budget for AI safeguards",
maine.gov,Susan Collins,39 Maine state lawmakers signed letter urging Collins to oppose AI moratorium — she complied; broke with Cruz and Senate GOP leadership on this,
malliotakis.house.gov,Nicole Malliotakis,Uses AI-driven computational research as one alternative in animal-testing legislation; no broader AI governance or regulation position found,Nicole Malliotakis (U.S. House Website)
mann.house.gov,Sharice Davids,Co-led Roadway Safety Modernization Act to enable use of AI-powered predictive risk technology and data-driven interventions to prevent crashes before they happen,Sharice Davids (U.S. House Website)
mann.house.gov,Tracey Mann,Introduced bipartisan bill to use predictive analytics and AI-powered risk technology for roadway safety,Tracey Mann (U.S. House Website)
mannion.house.gov,John Mannion,Current NY-22 candidacy is clear; no AI policy or AI regulation position found,John Mannion (U.S. House Website)
markey.senate.gov,Cori Bush,Previously backed the AI Civil Rights Act and related guardrail legislation aimed at preventing discriminatory AI use in high-stakes decisions,Cori Bush (U.S. Senate Website)
markey.senate.gov,Ed Markey,"Applauded GAO report on generative AI's environmental impacts (2025); continuing push on AI's resource/energy costs | Data center campaign: pressed EPA on Clean Air Act permitting; hosted 'Data Center Next Door' roundtable on environmental harms; wrote FERC urging protection from rate hikes for families | Filed amendment to strip 10-year state AI preemption from reconciliation bill (June 2025); led successful 99-1 Senate floor vote to kill the moratorium (July 1, 2025) | Led inquiry to nine AI companies demanding answers on working conditions of underpaid data labelers and content moderators | Markey and Warren urged Democratic colleagues to oppose the 2026 NDAA if it included an AI regulation moratorium, calling it 'a massive giveaway to Big Tech' that would prevent states from protecting residents from AI risks | Markey co-introduced AI Environmental Impacts Act with Heinrich — requires NIST to develop standards measuring AI energy/water use and e-waste | Markey introduced AI Civil Rights Act — comprehensive guardrails on algorithmic decisions; requires pre/post-deployment testing; targets bias in hiring, housing, credit, healthcare | Markey introduced Eliminating BIAS Act — requires every federal agency that uses or funds AI to have a civil rights office focused on combating AI discrimination | Markey introduced States' Right to Regulate AI Act (Dec 2025) — led 10 colleagues to block Trump executive order preempting state AI regulation; 'states should be able to protect their residents' | Markey introduced bipartisan Strategy for Public Health Preparedness and Response to AI Threats Act — prepares federal public health infrastructure for AI-enabled health threats | Right to Override Act — requires healthcare facilities to offer human override for AI-driven clinical decisions, protecting patients and health workers",Ed Markey (U.S. Senate Website)
markey.senate.gov,Jeff Merkley,Joined letter to Google CEO pressing concern that Google reversed promises not to develop potentially harmful AI technologies (Feb 2025),Jeff Merkley (U.S. Senate Website)
markey.senate.gov,Mark Pocan,Backed the AI Civil Rights Act and other guardrail legislation aimed at preventing discrimination and requiring transparency for high-stakes AI systems,Mark Pocan (U.S. Senate Website)
marshall.senate.gov,Roger Marshall,Participated in Senate HSGAC hearing on AI in government services; announced AI education/training partnership with Kansas community college and National Guard; no major AI legislation sponsored,Roger Marshall (U.S. Senate Website)
marymiller.house.gov,Mary Miller,Current IL-15 general-election nomination is clear; no AI policy or AI regulation position found,Mary Miller (U.S. House Website)
mass.gov,Maura Healey,"First governor to deploy ChatGPT enterprise-wide across 40K state employees; launched $31M MA AI Hub; said 'I embrace AI, I think it's amazing' and 'less focused on regulation'",
matsui.house.gov,Doris Matsui,Led House opposition to the federal AI moratorium and argued for common sense AI guardrails and state authority to protect consumers | Opposed Trump's AI executive order and defended state AI safeguards while calling for a federal framework that keeps people safe | Supported AI transparency rules for political advertising and framed generative AI as a real threat to the electoral process requiring disclosure safeguards,Doris Matsui (U.S. House Website)
maxmiller.house.gov,Max Miller,Found support for advanced computing in weather prediction and innovation policy; no AI policy or AI regulation position found,Max Miller (U.S. House Website)
mcclaindelaney.house.gov,April McClain Delaney,Incumbent MD-06 candidacy reviewed; no AI policy or AI regulation position found,April McClain Delaney (U.S. House Website)
mcclellan.house.gov,Jennifer McClellan,"Congressional art competition rules under McClellan explicitly bar AI-assisted submissions, showing direct attention to AI-generated content issues | Introduced bipartisan CONSENT Act to ban cyberflashing and transfer of unsolicited AI-generated explicit images | Introduced bipartisan CONSENT Act to ban cyberflashing and transfer of unsolicited AI-generated explicit images without consent; direct consumer-protection AI legislation",Jennifer McClellan (U.S. House Website)
mcclintock.house.gov,Tom McClintock,Current House and campaign materials focus spending and constitutional issues with no clear AI policy or AI regulation position found after broader search,Tom McClintock (U.S. House Website)
mccollum.house.gov,Betty McCollum,No AI policy or AI regulation position found,Betty McCollum (U.S. House Website)
mccormick.house.gov,Rich McCormick,Led a congressional letter demanding withdrawal or major revision of the Biden AI export rule and then celebrated its rescission as a win for the tech industry and U.S. AI competitiveness,Rich McCormick (U.S. House Website)
mcdonaldrivet.house.gov,Kristen McDonald Rivet,Introduced bill requiring call centers to disclose when AI is being used and ordering a report on job losses associated with AI use | Official congressional materials focus jobs manufacturing child care and Great Lakes issues with no substantive AI policy or AI regulation position found after broader search,Kristen McDonald Rivet (U.S. House Website)
mcdowell.house.gov,Addison McDowell,Official materials show support for student app development and AI-enabled health tools; no AI policy or AI regulation position found,Addison McDowell (U.S. House Website)
mcgarvey.house.gov,Morgan McGarvey,Introduced VA innovation legislation emphasizing design test and deployment of emerging health technologies with congressional oversight,Morgan McGarvey (U.S. House Website)
mcguire.house.gov,John McGuire,Incumbent VA-05 campaign and official materials reviewed; no AI policy or AI regulation position found,John McGuire (U.S. House Website)
meeks.house.gov,Gregory Meeks,Introduced legislation to block export of advanced AI chips to China and framed AI policy mainly through national-security competition and export controls,Gregory Meeks (U.S. House Website)
menendez.house.gov,Rob Menendez,"Introduced AI for Secure Networks Act to use AI to protect telecom networks while also assessing cybersecurity risks from misuse of AI | Introduced legislation to protect Americans from utility and environmental harms caused by AI data centers, requiring transparency and limiting consumer cost burdens",Rob Menendez (U.S. House Website)
meng.house.gov,Grace Meng,No AI policy or AI regulation position found,Grace Meng (U.S. House Website)
merkley.senate.gov,Jeff Merkley,Co-led Senate letter to DOD demanding answers on AI use in military targeting of Iran; specifically questioned whether AI tools selected targets and whether human verification occurred before strikes | Co-sponsored Algorithmic Accountability Act — requires AI impact assessments for housing/employment/education decisions; public FTC repository of AI systems,Jeff Merkley (U.S. Senate Website)
messmer.house.gov,Mark Messmer,Current IN-08 presumptive candidacy is clear; no AI policy or AI regulation position found,Mark Messmer (U.S. House Website)
millermeeks.house.gov,Mariannette Miller-Meeks,Hosted congressional briefing on responsible healthcare AI emphasizing privacy ethics and clinician oversight | Proudly backed the July 3 2025 House bill that included the federal moratorium on state AI regulation,Mariannette Miller-Meeks (U.S. House Website)
mills.house.gov,Cory Mills,Official congressional and campaign materials focus foreign policy veterans and border security with no substantive AI policy or AI regulation position found after broader search,Cory Mills (U.S. House Website)
min.house.gov,Dave Min,Current House and campaign materials did not show a substantive AI policy or AI regulation record in this race after broader search,Dave Min (U.S. House Website)
morelle.house.gov,Joseph Morelle,"Authored and repeatedly reintroduced legislation to criminalize and create civil remedies for AI-generated intimate deepfakes, explicitly framing AI harms as requiring federal protection | Earlier introduced the Preventing Deepfakes of Intimate Images Act and argued Congress must act proactively as AI spreads through society",Joseph Morelle (U.S. House Website)
morrison.house.gov,Kelly Morrison,Current MN-03 candidacy is clear; no AI policy or AI regulation position found,Kelly Morrison (U.S. House Website)
moulton.house.gov,Seth Moulton,"Co-sponsored bipartisan resolution calling for a national AI strategy across workforce, national security, R&D, and ethics; warned 'If we don't set the rules of the road for AI, China or Russia will' | Voted for FY26 NDAA (Dec 2025) which includes Section 1061 requiring Pentagon to report waivers of autonomous weapons policy to Congress — consistent with his call for military AI guardrails",Seth Moulton (U.S. House Website)
mrvan.house.gov,Frank Mrvan,Official congressional and campaign materials focus labor housing veterans and appropriations work with no substantive AI policy or AI regulation position found after broader search,Frank Mrvan (U.S. House Website)
murphy.house.gov,Greg Murphy,Found telehealth and medical-technology advocacy; no AI governance or regulation position found,Greg Murphy (U.S. House Website)
neal.house.gov,Richard Neal,"Said DOGE access to sensitive Social Security data, combined with fears surrounding artificial intelligence, threatens Americans privacy and should alarm the public",Richard Neal (U.S. House Website)
neguse.house.gov,Joe Neguse,Backed a 10-year federal R&D roadmap focused on artificial intelligence and emphasized that government must lead on responsible innovation and competitiveness rather than leaving the field unguided,Joe Neguse (U.S. House Website)
newdemocratcoalition.house.gov,Steven Horsford,Member of the New Democrat Coalition Artificial Intelligence Working Group,Steven Horsford (U.S. House Website)
news.sd.gov,Larry Rhoden,"Banned DeepSeek and RedNote from all state government devices and personal devices used on state time (March 2025), citing national security threat from Chinese Communist Party",
nunn.house.gov,Zach Nunn,Introduced AI PLAN Act and publicly argued for AI guardrails against fraud scams and foreign manipulation | Introduced Federal Artificial Intelligence Risk Management Act requiring federal agencies to use NIST AI risk-management safeguards,Zach Nunn (U.S. House Website)
nysenate.gov,Peter Oberacker,"Voted yes on NY S934A: requires generative AI systems to display conspicuous warning that outputs ""may be inaccurate and/or inappropriate""; civil penalties up to $1,000 per violation",
obernolte.house.gov,Jay Obernolte,Chairs the House Science research and technology subcommittee with explicit leadership on AI and responsible innovation | Introduced the bipartisan CREATE AI Act to broaden access to AI research tools and trustworthy AI development infrastructure,Jay Obernolte (U.S. House Website)
ocasio-cortez.house.gov,Alexandria Ocasio-Cortez,Led bipartisan introduction and reintroduction of the DEFIANCE Act to create federal civil remedies for non-consensual AI deepfake imagery | Publicly warned about AI-driven psychological and economic harms and argued Congress cannot leave AI chatbots and other systems unregulated,Alexandria Ocasio-Cortez (U.S. House Website)
okhouse.gov,Cyndi Munson,Introduced HB 3959 to ban algorithmic AI surveillance pricing; pushed legislation requiring human final decision-maker for AI-recommended health insurance denials,
oklahoma.gov,Gentner Drummond,"As AG, joined 40+ AG coalitions demanding AI chatbot guardrails for children; demanded xAI restrict Grok from generating CSAM; opposed congressional bill barring states from enacting AI regulations | Joined coalition of 43+ AGs demanding AI chatbot guardrails for children; cited Meta authorizing AI to flirt with children as young as 8 and chatbots encouraging self-harm in teenagers",
omar.house.gov,Ilhan Omar,"As Workforce Protections Subcommittee ranking member, framed AI deployment as requiring safer workplaces and worker protections rather than unchecked employer use | Introduced legislation to require transparency and accountability for app-based platforms using hidden algorithms and automated decision systems affecting worker pay and assignments",Ilhan Omar (U.S. House Website)
osi.az.gov,Katie Hobbs,OSI announcement of AI Steering Committee members,
ossoff.senate.gov,Jon Ossoff,"AI & Human Rights hearing (chaired – Senate Human Rights Subcommittee) | Bipartisan inquiry with Sen. Blackburn to DOJ on AI-generated CSAM, calling for increased prosecutorial resources | DoD/Grok inquiry – pushed back on Pentagon using xAI Grok over antisemitic outputs",Jon Ossoff (U.S. Senate Website)
oversight.house.gov,Nancy Mace,Chaired House subcommittee AI oversight hearings; championed AI workforce training legislation; wants to 'unleash AI responsibly without crushing innovation'; voted for bill with federal AI moratorium (later stripped),Nancy Mace (U.S. House Website)
oversight.house.gov,Paul Gosar,Discussed using AI to detect Medicare and Medicaid fraud in oversight work; no broader AI governance framework found,Paul Gosar (U.S. House Website)
pa.gov,Josh Shapiro,Created Generative AI Governing Board to guide AI policy across state agencies | Expanded AI collaboration with CMU – PA ranked top 3 states for AI readiness | Launched multiagency AI Literacy Toolkit for kids / parents / teachers | Signed Digital Forgery Law (SB 649) — third-degree felony for using AI to produce non-consensual deepfakes or voice clones to defraud or harm Pennsylvanians | Signed executive order on safe and responsible AI adoption in state govt (Sept 2023) – nation-leading per PA,
pallone.house.gov,Frank Pallone,No AI policy or AI regulation position found,Frank Pallone (U.S. House Website)
palmer.house.gov,Gary Palmer,Campaign and House materials emphasize taxes regulation and general STEM education but no clear AI policy or AI regulation position found after broader search,Gary Palmer (U.S. House Website)
panetta.house.gov,Jimmy Panetta,Public materials reviewed did not show a substantive AI policy or AI regulation record in this race after broader search,Jimmy Panetta (U.S. House Website)
pappas.house.gov,Chris Pappas,Led NH delegation urging FCC/FEC to prevent AI robocalls | Raised concern about improper AI use in Medicare Advantage prior auth denials,Chris Pappas (U.S. House Website)
patreasury.gov,Stacy Garrity,PA Treasury press release on DeepSeek ban,
patronis.house.gov,Jimmy Patronis,Introduced legislation to codify the Trump executive order against so-called woke AI in the federal government,Jimmy Patronis (U.S. House Website)
