change_id,table,key,action,reasoning,Model,field,value,D,Reasoning D,I,Reasoning I
722,evidence,,add,Bice's House press release on the National Security Commission on Emerging Biotechnology directly ties AI to biotechnology competition and U.S.-China national security concerns.,Codex,URL,https://bice.house.gov/media/press-releases/report-report-national-security-commission-emerging-biotechnology-urges-swift,,,,
723,candidates,Oklahoma|House OK-05|Stephanie Bice,mod,"The revised evidence shows an AI record centered on congressional adoption/security and national-security competition, not a clearly anti-safety record. That supports a mixed/unclear stance rather than naughty.",Codex,Verdict,nuanced,,,,
724,evidence,1700,mod,"The current House press release supports the claim, but the description is too long and should be shortened while preserving the responsible-AI angle.",Codex,Source_Description,Introduced AI education bill backing responsible AI training (House Rep Website),,,,
725,evidence,,add,"A direct House press release shows Salinas sponsored a biosecurity bill explicitly tied to Biden’s Safe, Secure, and Trustworthy AI executive order.",Codex,Candidate_Key,Oregon|House OR-06|Andrea Salinas,,,,
725,evidence,,add,"A direct House press release shows Salinas sponsored a biosecurity bill explicitly tied to Biden’s Safe, Secure, and Trustworthy AI executive order.",Codex,Source_Description,Biosecurity bill codified Biden safe AI screening order (House Rep Website),,,,
725,evidence,,add,"A direct House press release shows Salinas sponsored a biosecurity bill explicitly tied to Biden’s Safe, Secure, and Trustworthy AI executive order.",Codex,URL,https://salinas.house.gov/media/press-releases/salinas-bipartisan-bill-promote-scientific-research-standards-passes-committee,,,,
726,candidates,Oregon|House OR-06|Andrea Salinas,mod,Direct evidence now shows a clearly pro-governance AI record: Salinas backed responsible AI education and sponsored AI-linked biosecurity standards. That does not fit a naughty verdict.,Codex,Verdict,nice,,,,
727,evidence,1328,mod,"Current description is too long and misleading because this source covers one bill, not multiple bills or the rural-AI study.",Codex,Source_Description,Introduced AI bill to cut federal regulations (House Rep Website),,,,
728,evidence,2585,mod,Current description is too long and should be tightened to the source-supported deregulatory AI infrastructure angle from the press release.,Codex,Source_Description,Backed streamlining permits for rural AI growth (House Rep Website),,,,
729,evidence,1673,mod,"The official House press release supports the core anti-regulatory claim, but the current description is too long and lacks the required parenthetical source label.",Codex,Source_Description,Introduced five-year moratorium on state AI mandates (House Rep Website),,,,
730,evidence,2780,mod,The Washington Reporter URL redirects to a cleaner canonical article URL; updating it makes the source easier to verify without changing the claim.,Codex,URL,https://washingtonreporter.news/interview-thirteen-house-republicans-debate-a-federal-moratorium-on-ai-and-discuss-lessons-from-the-schumer-shutdown/,,,,
731,evidence,2780,mod,"The interview directly supports the preemption/China-race framing, and the description can be made more concise while preserving both key angles.",Codex,Source_Description,"Backed AI preemption, citing race against China (Washington Reporter)",,,,
732,evidence,2780,mod,Combining the canonical URL update and concise supported description keeps this direct interview evidence stronger and easier to verify.,Codex,Source_Description,"Backed AI preemption, citing race against China (Washington Reporter)",,,,
732,evidence,2780,mod,Combining the canonical URL update and concise supported description keeps this direct interview evidence stronger and easier to verify.,Codex,URL,https://washingtonreporter.news/interview-thirteen-house-republicans-debate-a-federal-moratorium-on-ai-and-discuss-lessons-from-the-schumer-shutdown/,,,,
733,evidence,2780,del,remove duplicate mod proposal placeholder,Codex,,,,,,
734,evidence,,add,Congress.gov bill text provides additional direct evidence that Baumgartner also frames AI through foreign-adversary and national-security risk legislation.,Codex,Candidate_Key,Washington|House WA-05|Michael Baumgartner,,,,
734,evidence,,add,Congress.gov bill text provides additional direct evidence that Baumgartner also frames AI through foreign-adversary and national-security risk legislation.,Codex,Source_Description,Introduced bill on foreign adversary AI risk assessments (Congress.gov),,,,
734,evidence,,add,Congress.gov bill text provides additional direct evidence that Baumgartner also frames AI through foreign-adversary and national-security risk legislation.,Codex,URL,https://www.congress.gov/bill/119th-congress/house-bill/7058/text,,,,
735,evidence,8,mod,Current description is too long and lacks a standardized source label; the official page supports both deepfake concern and a lighter-touch regulatory posture.,Codex,Source_Description,"Warned on deepfakes, favored flexible AI regulation (House Rep Website)",,,,
736,evidence,9,del,This is a generic issue-page overview and is redundant now that stronger direct AI-specific sources exist in the record.,Codex,,,,,approved,
737,evidence,10,mod,Existing source is a secondary trade article; Congress.gov is a stronger direct source for the same core claim.,Codex,Source_Description,Bill lets FDA-cleared AI prescribe drugs if states allow (Congress.gov),,,approved,
737,evidence,10,mod,Existing source is a secondary trade article; Congress.gov is a stronger direct source for the same core claim.,Codex,URL,https://www.congress.gov/bill/119th-congress/house-bill/238,,,approved,
738,evidence,11,mod,The current description is long and can be made more specific and standardized without losing the core AI-defense claim.,Codex,Source_Description,Passed NDAA amendments using AI for Pentagon audits and inventory (House Rep Website),,,,
739,evidence,12,mod,The source supports a government-efficiency and debt-focused AI claim; the description should be shorter and standardized.,Codex,Source_Description,Argued AI could improve government efficiency and debt outlook (House Rep Website),,,,
740,evidence,497,mod,"The press release directly supports a narrower, verifiable claim about Medicare reimbursement guidance for AI wearables.",Codex,Source_Description,Introduced Medicare reimbursement guidance for AI wearables (House Rep Website),,,approved,
741,evidence,2624,mod,The Congress.gov amendment page supports a more specific description centered on AI oversight and fraud reduction at VA.,Codex,Source_Description,VA amendment studied AI fraud detection and oversight gains (Congress.gov),,,,
742,evidence,,add,"This is a direct official source showing Schweikert framing AI around foreign disinformation, China, and national-security risk, which adds important balance to his record.",Codex,Candidate_Key,Arizona|Governor|David Schweikert,,,,
742,evidence,,add,"This is a direct official source showing Schweikert framing AI around foreign disinformation, China, and national-security risk, which adds important balance to his record.",Codex,Source_Description,"Warned China, Russia, Iran weaponize AI disinformation (House Rep Website)",,,,
742,evidence,,add,"This is a direct official source showing Schweikert framing AI around foreign disinformation, China, and national-security risk, which adds important balance to his record.",Codex,URL,https://schweikert.house.gov/2024/04/12/schweikert-its-time-for-members-of-congress-to-start-acting-like-adults/,,,,
743,evidence,,add,"Direct official opening statement shows Swalwell explicitly supports secure, responsible AI deployment while preserving innovation.",Codex,Candidate_Key,California|Governor|Eric Swalwell,,,,
743,evidence,,add,"Direct official opening statement shows Swalwell explicitly supports secure, responsible AI deployment while preserving innovation.",Codex,Source_Description,"Backed safe, secure, responsible AI deployment (House Homeland Democrats)",,,,
743,evidence,,add,"Direct official opening statement shows Swalwell explicitly supports secure, responsible AI deployment while preserving innovation.",Codex,URL,https://democrats-homeland.house.gov/download/swalwell-opening-statement-cip-121223?download=1,,,,
744,evidence,,add,Direct official opening statement says AI governance is necessary and rejects sidelining security during AI deployment.,Codex,Candidate_Key,California|Governor|Eric Swalwell,,,,
744,evidence,,add,Direct official opening statement says AI governance is necessary and rejects sidelining security during AI deployment.,Codex,Source_Description,Said AI without governance invites disaster (House Homeland Democrats),,,,
744,evidence,,add,Direct official opening statement says AI governance is necessary and rejects sidelining security during AI deployment.,Codex,URL,https://democrats-homeland.house.gov/download/swalwell-ai-cyber-open-0612?download=1,,,,
745,evidence,,add,"Official campaign biography confirms direct personal involvement with an AI political tool, relevant to his AI record and overall nuanced posture.",Codex,Candidate_Key,California|Governor|Eric Swalwell,,,,
745,evidence,,add,"Official campaign biography confirms direct personal involvement with an AI political tool, relevant to his AI record and overall nuanced posture.",Codex,Source_Description,Founded AI political organizing tool Findraiser (Campaign Website),,,,
745,evidence,,add,"Official campaign biography confirms direct personal involvement with an AI political tool, relevant to his AI record and overall nuanced posture.",Codex,URL,https://www.ericswalwell.com/about,,,,
746,evidence,26,mod,"Current description is too long and should use a concise, source-backed format with parenthetical source label.",Codex,Source_Description,Convened AI workgroup opposing educator replacement (CDE),,,,
747,evidence,598,mod,Current description is too long; source supports a shorter claim-focused description centered on guardrails.,Codex,Source_Description,Invited AI workgroup on privacy and academic integrity (CDE),,,,
748,evidence,2886,mod,Current description can be made more specific while staying concise and directly supported by the source.,Codex,Source_Description,Released AI guidance prioritizing privacy and human-centered learning (CDE),,,approved,
749,candidates,California|Governor|Tony Thurmond,mod,"Multiple direct official sources show a consistent record favoring AI guardrails, privacy, academic integrity, equity, and human-centered use in schools.",Codex,Verdict,nice,,,,
750,evidence,5,mod,The ASU article is live and directly supports a concise AI-related description focused on Biggs backing AI data center growth tied to SMR power.,Codex,Source_Description,Backed AI data centers and SMR power (ASU News),,,,
751,evidence,6,mod,"The transcript directly shows Biggs discussing AI guardrails, privacy, Arizona AI use, and submitting material praising state-level AI regulation, so the description should reflect the specific supported claim.",Codex,Source_Description,"Cited Arizona AI law, backed state regulation (Congress Transcript)",,,,
752,evidence,2596,mod,"The current hearing page does not itself show that Biggs chaired the hearing, but the Judiciary subcommittee page does show he chairs the subcommittee and lists the AI crime hearing in its recent activity.",Codex,Source_Description,Chaired subcommittee holding AI crime hearing (House Judiciary),,,,
752,evidence,2596,mod,"The current hearing page does not itself show that Biggs chaired the hearing, but the Judiciary subcommittee page does show he chairs the subcommittee and lists the AI crime hearing in its recent activity.",Codex,URL,https://judiciary.house.gov/subcommittees/committee-judiciary-119th-congress/crime-and-federal-government-surveillance-119th,,,,
753,candidates,Arizona|Governor|Andy Biggs,mod,"After revising the evidence, Biggs no longer fits no_record. He has a meaningful but mixed AI record: pro-growth on AI infrastructure, supportive of state-led AI regulation, and engaged on privacy/AI-crime issues, which is better captured as nuanced.",Codex,Verdict,nuanced,,,,
754,evidence,22,mod,Current row uses an unsupported negative assertion and mixes in Coinbase information not supported by the campaign homepage. A more direct campaign press release verifies candidacy and campaign focus.,Codex,Source_Description,Filed for governor; campaign stresses affordability and safety (Campaign Website),,,,
754,evidence,22,mod,Current row uses an unsupported negative assertion and mixes in Coinbase information not supported by the campaign homepage. A more direct campaign press release verifies candidacy and campaign focus.,Codex,URL,https://www.antonio2026.com/news/villaraigosa-files-to-run-for-governor-of-california,,,,
755,evidence,23,del,"Indirect media profile with a negative 'no AI platform mentioned' assertion. Stronger direct campaign and AI-related evidence is available, so this weak non-AI row should be removed.",Codex,,,,,,
756,evidence,,add,Adds direct AI-related evidence: Villaraigosa joined other Democratic candidates in backing workplace AI regulation at a labor forum.,Codex,Candidate_Key,California|Governor|Antonio Villaraigosa,,,,
756,evidence,,add,Adds direct AI-related evidence: Villaraigosa joined other Democratic candidates in backing workplace AI regulation at a labor forum.,Codex,Source_Description,Backed workplace AI regulation at labor forum (Los Angeles Times),,,,
756,evidence,,add,Adds direct AI-related evidence: Villaraigosa joined other Democratic candidates in backing workplace AI regulation at a labor forum.,Codex,URL,https://www.latimes.com/politics/story/2025-05-13/gubernatorial-candidates-labor-atkins-thurmond-becerra-villaraigosa-yee-eleni-porter,,,,
757,evidence,32,del,"The CalMatters roundup is outdated and includes an unsupported negative assertion about AI positions. A stronger, more current source already documents that Calderon ended his campaign.",Codex,,,,,,
758,candidates,California|Governor|Ian Calderon,mod,"KCRA reported on March 5, 2026 that Ian Calderon dropped out of the California governor's race and endorsed Eric Swalwell, so the candidate is no longer active.",Codex,Status,Out,,,,
759,evidence,24,del,"Campaign page is active and relevant to candidacy, but it is not AI-specific and the current description relies on a negative assertion. Stronger direct AI evidence exists from HHS sources, so this weak row should be removed.",Codex,,,,,,
760,evidence,2599,mod,The current HHS testimony source directly states that Secretary Becerra tasked HHS to coordinate AI efforts. Rewriting the description makes the candidate-specific link clearer while staying supported by the source.,Codex,Source_Description,Becerra tasked HHS AI coordination (HHS),,,,
761,evidence,,add,"This official HHS press release directly ties Becerra to a rule that addresses bias in health technology and requires mitigation of discrimination in AI decision-support tools, adding a stronger candidate-linked AI governance signal.",Codex,Candidate_Key,California|Governor|Xavier Becerra,,,,
761,evidence,,add,"This official HHS press release directly ties Becerra to a rule that addresses bias in health technology and requires mitigation of discrimination in AI decision-support tools, adding a stronger candidate-linked AI governance signal.",Codex,Source_Description,Anti-bias rule for health AI tools (HHS),,,,
761,evidence,,add,"This official HHS press release directly ties Becerra to a rule that addresses bias in health technology and requires mitigation of discrimination in AI decision-support tools, adding a stronger candidate-linked AI governance signal.",Codex,URL,https://www.hhs.gov/sites/default/files/aca-section-1557-press-release.pdf,,,,
762,candidates,California|Governor|Xavier Becerra,mod,"After removing the non-AI campaign row and considering the remaining HHS testimony, algorithm-transparency rule, and added anti-bias health AI rule, Becerra has a meaningful record supporting AI guardrails and responsible governance in health care.",Codex,Verdict,nice,,,,
763,evidence,48,mod,"The current Ballotpedia row is weak and non-direct. Joshi has a live official Senate campaign website that directly verifies his candidacy and identity, and the description should be neutral rather than asserting no AI record.",Codex,Source_Description,2026 U.S. Senate campaign homepage (Campaign Website),,,,
763,evidence,48,mod,"The current Ballotpedia row is weak and non-direct. Joshi has a live official Senate campaign website that directly verifies his candidacy and identity, and the description should be neutral rather than asserting no AI record.",Codex,URL,https://janakjoshiforcolorado.com/,,,,
764,evidence,,add,"A direct interview provides candidate-linked AI-related record in healthcare, but it is not strong enough on its own to justify changing the overall verdict from no_record.",Codex,Candidate_Key,Colorado|Senate|Janak Joshi,,,,
764,evidence,,add,"A direct interview provides candidate-linked AI-related record in healthcare, but it is not strong enough on its own to justify changing the overall verdict from no_record.",Codex,Source_Description,Discusses healthcare AI data interoperability needs (MedCity News),,,,
764,evidence,,add,"A direct interview provides candidate-linked AI-related record in healthcare, but it is not strong enough on its own to justify changing the overall verdict from no_record.",Codex,URL,https://medcitynews.com/2019/05/lifeimage-ceo-talks-about-the-data-sharing-challenges-ai-algorithm-developers-face/,,,,
765,evidence,44,mod,"The current source supports a specific pro-accountability AI quote and criticism of tech lobbying, but the existing description is too long and includes an unsupported campaign-record qualifier.",Codex,Source_Description,"Criticized tech lobbying, backed AI accountability (Colorado Sun)",,,,
766,evidence,2600,mod,"A Senate floor vote page is a stronger direct anchor than the current committee vote URL, and the description should match the bill’s consumer-protection framing.",Codex,Source_Description,Voted yes on AI consumer protections (Colorado General Assembly),,,,
766,evidence,2600,mod,"A Senate floor vote page is a stronger direct anchor than the current committee vote URL, and the description should match the bill’s consumer-protection framing.",Codex,URL,https://leg.colorado.gov/bill_votes/12344,,,,
767,evidence,2601,mod,A Senate floor vote page is a stronger direct anchor than the current committee vote URL for Gonzales’s support of the algorithmic transparency bill.,Codex,URL,https://leg.colorado.gov/bill_votes/23212,,,,
768,candidates,Colorado|Senate|Julie Gonzales,mod,"Multiple direct sources now show a meaningful AI record: Gonzales voted for Colorado’s AI consumer-protection law, voted for the later algorithmic-transparency measure, and publicly urged accountability for powerful AI companies. That supports a pro-safety/responsible-governance verdict rather than no_record.",Codex,Verdict,nice,,,,
769,evidence,2887,mod,The current campaign post is live and directly supports the AI-data-center claim. The description should use the standardized official-source label and slightly clearer wording.,Codex,Source_Description,Affordability plan opposes AI data centers (Campaign Website),,,,
770,evidence,,add,"PolitiFact documents Fishback's Feb. 26, 2026 Pensacola campaign remarks criticizing AI data centers for electricity and water impacts, adding a second AI-specific source. Status and verdict do not need changes because he still appears active and the added evidence reinforces, rather than materially changes, the existing nuanced assessment.",Codex,Candidate_Key,Florida|Governor|James Fishback,,,,
770,evidence,,add,"PolitiFact documents Fishback's Feb. 26, 2026 Pensacola campaign remarks criticizing AI data centers for electricity and water impacts, adding a second AI-specific source. Status and verdict do not need changes because he still appears active and the added evidence reinforces, rather than materially changes, the existing nuanced assessment.",Codex,Source_Description,"Pensacola stop warns AI centers raise bills, water use (PolitiFact)",,,,
770,evidence,,add,"PolitiFact documents Fishback's Feb. 26, 2026 Pensacola campaign remarks criticizing AI data centers for electricity and water impacts, adding a second AI-specific source. Status and verdict do not need changes because he still appears active and the added evidence reinforces, rather than materially changes, the existing nuanced assessment.",Codex,URL,https://www.politifact.com/factchecks/2026/mar/04/james-fishback/ai-data-centers-energy-water-florida-governor/,,,,
771,evidence,56,mod,"The current description is too long and includes an unsupported, now outdated claim that Collins has no legislative AI record. The News4JAX source directly supports only his cautionary interview comments about AI risks.",Codex,Source_Description,"Warned AI chatbots spread unvetted facts, harm children (News4JAX)",,,,
772,evidence,,add,Florida Senate bill text provides direct official evidence that Collins sponsored an AI-related proposal requiring school districts to use AI route-planning tools for student transportation.,Codex,Candidate_Key,Florida|Governor|Jay Collins,,,,
772,evidence,,add,Florida Senate bill text provides direct official evidence that Collins sponsored an AI-related proposal requiring school districts to use AI route-planning tools for student transportation.,Codex,Source_Description,Authored school bus AI route-planning mandate (Florida Senate),,,,
772,evidence,,add,Florida Senate bill text provides direct official evidence that Collins sponsored an AI-related proposal requiring school districts to use AI route-planning tools for student transportation.,Codex,URL,https://www.flsenate.gov/Session/Bill/2025/1424/BillText/Filed/HTML,,,,
773,evidence,58,mod,The current local-news row is overly long and includes AI claims not clearly supported by the source as loaded. The official Orange County State of the County page directly supports a narrower AI-efficiency/cyber-defense claim and is a stronger anchor.,Codex,Source_Description,"State of County touts AI for cyber defense, efficiency (Orange County)",,,,
773,evidence,58,mod,The current local-news row is overly long and includes AI claims not clearly supported by the source as loaded. The official Orange County State of the County page directly supports a narrower AI-efficiency/cyber-defense claim and is a stronger anchor.,Codex,URL,https://www.orangecountyfl.net/BoardofCommissioners/Mayor/StateoftheCounty.aspx,,,,
774,evidence,53,mod,"The campaign press release directly supports Renner's opposition to AI data center expansion, but the current description is too long and argumentative. This shorter wording keeps the core AI-related claim and uses the standardized official source label.",Codex,Source_Description,Opposed AI data center expansion in Florida (Campaign Website),,,,
775,evidence,54,del,"The WLRN article does not support the current AI-specific description as written, and stronger direct campaign sources already cover Renner's AI-related record. Keeping this row would leave misleading or weak evidence in place.",Codex,,,,,,
776,evidence,603,mod,"The campaign press release directly supports a school-AI parental opt-in position, but the current description is too long. This revision preserves the key supported AI-related claim with a standardized official source label.",Codex,Source_Description,Required parental opt-in for school AI use (Campaign Website),,,,
777,evidence,67,mod,Ballotpedia candidate page should be replaced with a direct official source. The Georgia Secretary of State statement directly supports a concise claim about Raffensperger warning about false election media and foreign disinformation.,Codex,Source_Description,Called fake election video foreign disinformation (Secretary of State Website),,,,
777,evidence,67,mod,Ballotpedia candidate page should be replaced with a direct official source. The Georgia Secretary of State statement directly supports a concise claim about Raffensperger warning about false election media and foreign disinformation.,Codex,URL,https://sos.ga.gov/news/statement-secretary-raffensperger,,,,
778,evidence,68,del,"The current newspaper link was not reliably verifiable from the source itself, and the existing description makes specific AI/training claims I could not directly confirm from a currently loaded source. A stronger direct source is added in the same batch.",Codex,,,,,,
779,evidence,,add,"Added a direct official source showing Raffensperger backing election-integrity legislation framed around foreign interference, which is relevant to AI-enabled disinformation and election security.",Codex,Candidate_Key,Georgia|Governor|Brad Raffensperger,,,,
779,evidence,,add,"Added a direct official source showing Raffensperger backing election-integrity legislation framed around foreign interference, which is relevant to AI-enabled disinformation and election security.",Codex,Source_Description,Backed bill targeting foreign election interference (Secretary of State Website),,,,
779,evidence,,add,"Added a direct official source showing Raffensperger backing election-integrity legislation framed around foreign interference, which is relevant to AI-enabled disinformation and election security.",Codex,URL,https://sos.ga.gov/news/secretary-brad-raffensperger-stands-election-integrity-bill-signing,,,,
780,evidence,65,mod,The current Ballotpedia URL is not a strong direct source and the description mixes supported and unsupported claims. Jones's official 2025 press release directly supports that he appointed a study committee on AI/social media impacts on children.,Codex,Source_Description,Appointed AI/social media children study committee (Lt. Governor Website),,,,
780,evidence,65,mod,The current Ballotpedia URL is not a strong direct source and the description mixes supported and unsupported claims. Jones's official 2025 press release directly supports that he appointed a study committee on AI/social media impacts on children.,Codex,URL,https://ltgov.georgia.gov/press-releases/2025-05-22/2025-senate-study-committee-appointments,,,,
781,evidence,66,mod,The current description about an AI data center conflict is not supported by the linked source. A direct official source exists showing Jones appointed the 2024 Senate Study Committee on Artificial Intelligence.,Codex,Source_Description,Appointed 2024 Senate AI study committee (Lt. Governor Website),,,,
781,evidence,66,mod,The current description about an AI data center conflict is not supported by the linked source. A direct official source exists showing Jones appointed the 2024 Senate Study Committee on Artificial Intelligence.,Codex,URL,https://ltgov.georgia.gov/press-releases/2024-05-24/2024-senate-study-committee-appointments,,,,
782,evidence,2603,del,Current campaign economy page is not AI-related and is weaker than the remaining direct technology-policy evidence.,Codex,,,,,,
783,evidence,2604,mod,"The PR Newswire source is live and supports a more concise, claim-focused description tied to Duncan's technology/innovation record.",Codex,Source_Description,Launched statewide tech innovation partnership (PR Newswire),,,,
784,evidence,,add,Official Georgia governor press release provides a stronger direct government source showing Duncan backing broadband expansion as part of Georgia's technology competitiveness agenda.,Codex,Candidate_Key,Georgia|Governor|Geoff Duncan,,,,
784,evidence,,add,Official Georgia governor press release provides a stronger direct government source showing Duncan backing broadband expansion as part of Georgia's technology competitiveness agenda.,Codex,Source_Description,Backed rural broadband to close digital divide (Governor Website),,,,
784,evidence,,add,Official Georgia governor press release provides a stronger direct government source showing Duncan backing broadband expansion as part of Georgia's technology competitiveness agenda.,Codex,URL,https://gov.georgia.gov/press-releases/2021-03-05/gov-kemp-announces-tri-county-emc-expand-broadband-rural-middle-georgia,,,,
785,evidence,69,del,Current Ballotpedia evidence is indirect and its AI-specific claims could not be verified against a direct source; replace it with a current source confirming candidacy.,Codex,,,,,,
786,evidence,,add,"Add a current, verifiable source confirming Kirkpatrick remains in the Georgia Republican gubernatorial primary; no direct AI record was found.",Codex,Candidate_Key,Georgia|Governor|Gregg Kirkpatrick,,,,
786,evidence,,add,"Add a current, verifiable source confirming Kirkpatrick remains in the Georgia Republican gubernatorial primary; no direct AI record was found.",Codex,Source_Description,Running in Georgia GOP governor primary (FOX 5 Atlanta),,,,
786,evidence,,add,"Add a current, verifiable source confirming Kirkpatrick remains in the Georgia Republican gubernatorial primary; no direct AI record was found.",Codex,URL,https://www.fox5atlanta.com/news/candidates-running-georgias-governor-primary,,,,
787,candidates,Georgia|Governor|Gregg Kirkpatrick,mod,"After removing the unsupported AI-policy claim and finding no meaningful direct AI-related record, the evidence supports a no_record verdict.",Codex,Verdict,no_record,,,,
788,evidence,63,del,"Ballotpedia candidate page is blocked/soft-404 here, and the row is a long negative assertion rather than direct AI-related evidence. Stronger direct sources already remain.",Codex,,,,,,
789,evidence,2605,mod,Replace with a stronger SEC source that directly shows Bottoms on the board and describes the company’s AI screening business.,Codex,Source_Description,ScanTech AI board member on AI screening company (SEC),,,,
789,evidence,2605,mod,Replace with a stronger SEC source that directly shows Bottoms on the board and describes the company’s AI screening business.,Codex,URL,https://www.sec.gov/Archives/edgar/data/1892922/000110465924108463/tm2426188d1_ex99-1.htm,,,,
790,evidence,2606,mod,Current wording overstates the source; Microsoft says the initiative helped workers keep up with AI and machine learning advances.,Codex,Source_Description,Atlanta skills initiative addressed AI and machine learning (Microsoft),,,,
791,evidence,62,del,"The loaded GPB/AP article confirms Thurmond's candidacy but does not mention AI, workforce retooling for AI, or the quoted language in the current description, so this row is misleading and unsupported.",Codex,,,,,approved,
792,evidence,2889,mod,"The Yahoo/Savannah Morning News article directly supports two AI-related points from Thurmond: he wants Georgia to have an AI-proficient workforce, and he says data centers should bear their own power-related costs. The current description is incomplete and can be made more specific while staying concise.",Codex,Source_Description,Supports AI workforce; data centers pay costs (Yahoo),,,approved,
793,evidence,79,del,Congress.gov member profile is identity-only and not AI-specific; stronger direct AI evidence already exists for this candidate.,Codex,,,,,,
794,evidence,2607,mod,The bill summary supports a more specific description: Carter sponsored a bill studying facial recognition and recommending ways to promote its adoption.,Codex,Source_Description,Sponsored facial recognition promotion study bill (Congress.gov),,,,
795,evidence,,add,"Congress.gov shows Carter cosponsored the CREATE AI Act of 2025, which would expand AI research access and reserve resources for AI safety, security, risk mitigation, and trustworthiness work.",Codex,Candidate_Key,Georgia|Senate|Buddy Carter,,,,
795,evidence,,add,"Congress.gov shows Carter cosponsored the CREATE AI Act of 2025, which would expand AI research access and reserve resources for AI safety, security, risk mitigation, and trustworthiness work.",Codex,Source_Description,Cosponsored CREATE AI Act with safety set-aside (Congress.gov),,,,
795,evidence,,add,"Congress.gov shows Carter cosponsored the CREATE AI Act of 2025, which would expand AI research access and reserve resources for AI safety, security, risk mitigation, and trustworthiness work.",Codex,URL,https://www.congress.gov/bill/119th-congress/house-bill/2385/all-info,,,,
796,candidates,Georgia|Senate|Buddy Carter,mod,"After removing the non-AI profile row, the remaining record is not 'no_record': Carter has a mixed AI record that includes promoting facial recognition adoption, asking healthcare AI safeguard questions, and cosponsoring the CREATE AI Act with explicit safety and trustworthiness provisions.",Codex,Verdict,nuanced,,,,
797,evidence,81,del,Ballotpedia candidate page is a secondary source and can be removed because direct campaign-source evidence already exists for candidate identity and platform pages.,Codex,,,,,,
798,evidence,2609,mod,"The official campaign priorities page is live, but it does not mention AI; the description should be a neutral standardized source label.",Codex,Source_Description,Campaign priorities page (Campaign Website),,,,
799,evidence,2610,mod,"The official Georgia First Contract page is live, but it does not mention AI; the description should be a neutral standardized source label.",Codex,Source_Description,Georgia First contract page (Campaign Website),,,,
800,evidence,,add,"AJC directly reports Dooley's campaign criticizing a rival's use of AI deepfake campaigning. This is relevant AI-related evidence, but too limited on its own to justify changing the verdict from no_record.",Codex,Candidate_Key,Georgia|Senate|Derek Dooley,,,,
800,evidence,,add,"AJC directly reports Dooley's campaign criticizing a rival's use of AI deepfake campaigning. This is relevant AI-related evidence, but too limited on its own to justify changing the verdict from no_record.",Codex,Source_Description,Campaign mocked rival over AI video distractions (AJC),,,,
800,evidence,,add,"AJC directly reports Dooley's campaign criticizing a rival's use of AI deepfake campaigning. This is relevant AI-related evidence, but too limited on its own to justify changing the verdict from no_record.",Codex,URL,https://www.ajc.com/politics/2025/11/ossoff-pledges-not-to-use-deepfake-campaign-videos-while-collins-digs-in/,,,,
801,evidence,75,mod,"The House Science Committee page directly supports Collins emphasizing responsible AI development, research access, and China competition. The current description is too long and does not use the requested source-label format.",Codex,Source_Description,Opening statement on responsible AI and China competition (House Science Committee),,,,
802,evidence,76,mod,"The Congress.gov event page is a valid direct hearing record, but the current description is longer than needed and should be standardized.",Codex,Source_Description,AI scientific discovery hearing record (Congress.gov),,,,
803,evidence,77,mod,CBS Atlanta directly reports that Collins' campaign used an AI-generated deepfake ad and planned to keep using AI tools. The description should be shorter and standardized.,Codex,Source_Description,Campaign used AI deepfake Senate ad (CBS Atlanta),,,,
804,evidence,2890,mod,The Congress.gov bill page shows Collins sponsored the Small Business Artificial Intelligence Advancement Act. The description should be concise and standardized.,Codex,Source_Description,Sponsored small-business AI guidance bill (Congress.gov),,,,
805,evidence,,add,"An additional official House Science Committee source shows Collins explicitly discussing AI guardrails, risk-management tools, and transparent regulation, which is directly relevant to his AI record.",Codex,Candidate_Key,Georgia|Senate|Mike Collins,,,,
805,evidence,,add,"An additional official House Science Committee source shows Collins explicitly discussing AI guardrails, risk-management tools, and transparent regulation, which is directly relevant to his AI record.",Codex,Source_Description,Called for AI guardrails and transparent regulation (House Science Committee),,,,
805,evidence,,add,"An additional official House Science Committee source shows Collins explicitly discussing AI guardrails, risk-management tools, and transparent regulation, which is directly relevant to his AI record.",Codex,URL,https://science.house.gov/2023/10/opening-statement-of-research-and-technology-subcommittee-chairman-mike-collins-at-joint-subcommittee-on-investigations-and-oversight-and-research-and-technology-hearing-balancing-knowledge-and-governance-foundations-for-effective-risk-management-of-artificial-intelligence,,,,
806,evidence,94,mod,"Current Chicago Sun-Times questionnaire contains a direct China-tech position; the existing description is long, negative, and misses the AI-relevant national-security angle.",Codex,Source_Description,Supports export controls on sensitive technology to China (Chicago Sun-Times),,,,
807,evidence,2611,del,"The Illinois Public Media interview is about Israel, immigration, and GOP politics, not AI; it does not help voters assess the candidate's AI record.",Codex,,,,,,
808,evidence,2612,del,This campaign cost-of-living page contains no AI-related policy and is weaker than direct AI questionnaire sources added here.,Codex,,,,,,
809,evidence,,add,"Shaw Local published a direct questionnaire answer on how Congress should regulate AI, providing a clear and verifiable policy signal.",Codex,Candidate_Key,Illinois|Senate|Don Tracy,,,,
809,evidence,,add,"Shaw Local published a direct questionnaire answer on how Congress should regulate AI, providing a clear and verifiable policy signal.",Codex,Source_Description,"Supports AI transparency and consumer protections, opposes sweeping rules (Shaw Local)",,,,
